Deck Name,Year,Count,Meta Share,Cost,Colors,Yorion
WUB,2019,1,0.1,1324,wub,n
UR,2019,1,0.1,813,ur,n
Merfolks,2019,1,0.1,479,u,n
WBR,2019,1,0.1,1951,wbr,n
Death & Taxes,2019,1,0.1,1074,w,n
WUBR,2019,1,0.1,1071,wubr,n
WUG,2019,1,0.1,1735,wug,n
WUR,2019,1,0.1,1849,wur,n
Boros Burn,2019,1,0.1,628,wr,n
BR,2019,1,0.1,331,br,n
WURG,2019,1,0.1,1193,wurg,n
WG,2019,1,0.1,1224,wg,n
RG,2019,1,0.1,782,rg,n
WUG,2019,1,0.1,1633,wug,n
BR,2019,1,0.1,1028,br,n
WUB,2019,1,0.1,1646,wub,n
BR,2019,1,0.1,1232,br,n
WUBRG,2019,1,0.1,1493,wubrg,n
BR,2019,1,0.1,365,br,n
WUBRG,2019,1,0.1,1288,wubrg,n
WUBRG,2019,1,0.1,798,wubrg,n
WBG,2019,1,0.1,1581,wbg,n
WG,2019,1,0.1,1267,wg,n
UBR,2019,1,0.1,1524,ubr,n
WUR,2019,1,0.1,827,wur,n
URG,2019,1,0.1,162,urg,n
W,2019,1,0.1,868,w,n
WR,2019,1,0.1,1308,wr,n
UBR,2019,1,0.1,1374,ubr,n
R,2019,1,0.1,281,r,n
WUG,2019,1,0.1,1420,wug,n
URG,2019,1,0.1,751,urg,n
WURG,2019,1,0.1,1112,wurg,n
Merfolk,2019,1,0.1,1117,ug,n
WG,2019,1,0.1,1226,wg,n
UR,2019,1,0.1,149,ur,n
WUR,2019,1,0.1,1888,wur,n
G,2019,1,0.1,488,g,n
UBG,2019,1,0.1,1553,ubg,n
UBRG,2019,1,0.1,1762,ubrg,n
UR,2019,1,0.1,1159,UR,n
WURG,2019,1,0.1,902,wurg,n
WUBRG,2019,1,0.1,601,wubrg,n
BR,2019,1,0.1,666,br,n
WUBRG,2019,1,0.1,717,wubrg,n
RG,2019,1,0.1,536,rg,n
UR,2019,1,0.1,1388,ur,n
BG,2019,1,0.1,546,bg,n
U,2019,1,0.1,776,u,n
Uro Piles,2020,48,9.2,1268,wurg,n
Eladamri's Toolbox,2020,29,5.6,614,wg,n
Rakdos Death's Shadow,2020,23,4.4,673,br,n
Azorius Control,2020,22,4.3,1029,wur,n
Jund,2020,19,3.6,1585,brg,n
Blitz,2020,17,3.3,347,ur,n
Amulet Titan,2020,17,3.3,670,g,n
Tron,2020,15,2.9,561,g,n
Heliod Company,2020,15,2.9,697,wg,n
Gruul Midrange,2020,12,2.3,620,rg,n
Oops! All Spells,2020,12,2.3,321,ubrg,n
Death and Taxes,2020,10,1.9,486,w,n
Gifts Storm,2020,10,1.9,271,ur,n
Jund Death's Shadow,2020,10,1.9,1095,brg,n
Infect,2020,10,1.9,592,bg,n
Izzet Control,2020,10,1.9,777,ur,n
Devoted Devestation,2020,9,1.7,710,wg,n
Copy Cat,2020,9,1.7,1075,wurg,n
Scapeshift,2020,9,1.7,1352,urg,n
Mill,2020,8,1.5,659,ub,n
Mono-Red Aggro,2020,8,1.5,224,r,n
Burn,2020,7,1.3,460,wr,n
Ad Nauseam,2020,7,1.3,583,wubr,n
Humans,2020,7,1.3,763,wubrg,n
Dredge,2020,7,1.3,520,ubrg,n
Rakdos Midrange,2020,7,1.3,964,br,n
Spirits,2020,7,1.3,763,wug,n
Eldrazi Tron,2020,7,1.3,599,,n
WU,2020,6,1.2,597,wu,n
Hardened Scales,2020,6,1.2,485,g,n
Soulherder,2020,5,1,908,wug,n
W,2020,4,0.8,698,w,n
Orzhov Stoneblade,2020,4,0.8,754,wb,n
The Rock,2020,4,0.8,1431,bg,n
Grixis Death's Shadow,2020,4,0.8,1064,ub,n
Electrobalance,2020,4,0.8,633,ur,n
Four-Color Death's Shadow,2020,3,0.6,1097,brg,n
Niv to Light,2020,3,0.6,1187,wubrg,n
WB,2020,3,0.6,392,wb,n
Crab Vine,2020,3,0.6,906,ubg,n
Goblins,2020,3,0.6,890,br,n
WR,2020,3,0.6,380,wr,n
Mono-Blue Tron,2020,3,0.6,510,u,n
RG,2020,3,0.6,369,rg,n
UBG,2020,3,0.6,1098,ubg,n
Neobrand,2020,3,0.6,416,urg,n
BRG,2020,3,0.6,975,brg,n
WBG,2020,3,0.6,612,wbg,n
Eldrazi & Taxes,2020,2,0.4,446,wb,n
WUG,2020,2,0.4,871,wug,n
W,2020,2,0.4,460,w,n
WUR,2020,2,0.4,623,wur,n
WRG,2020,2,0.4,1058,wrg,n
WUR,2020,2,0.4,306,wur,n
Merfolk,2020,2,0.4,691,u,n
BRG,2020,2,0.4,481,brg,n
WR,2020,1,0.2,594,wr,n
Hammer Time,2021,56,12.7,900,wb,n
Blink,2021,50,11.4,1792,wurg,y
Murktide Regent,2021,35,8,1277,ur,n
Death's Shadow,2021,35,8,1146,wbr,n
Burn,2021,25,5.7,499,wr,n
Crashing Footfalls,2021,21,4.8,1437,urg,n
Yawgmoth,2021,20,4.6,826,brg,n
Amulet Titan,2021,17,3.9,796,g,n
Azorius Control,2021,18,4.1,1164,wu,n
Jund,2021,17,3.9,1614,brg,n
Elementals,2021,12,2.7,1653,wurg,n
Rakdos Midrange,2021,12,2.7,1042,br,n
Jeskai Control,2021,8,1.8,1137,wur,n
Mill,2021,8,1.8,780,ub,n
Generic Ragavan,2021,7,1.6,1106,wr,n
Grixis Control,2021,6,1.4,1229,ubr,n
Belcher,2021,5,1.1,480,rg,n
Infect,2021,4,0.9,649,ubg,n
Mono-Green Tron,2021,4,0.9,687,g,n
Affinity,2021,4,0.9,374,wub,n
Dredge,2021,4,0.9,552,wubr,n
5c Omnath,2021,4,0.9,1810,wurg,y
Hardened Scales,2021,4,0.9,649,rg,n
Eldrazi Tron,2021,3,0.7,650,,n
Blue Living End,2021,3,0.7,1004,wbrg,n
Indomitable Creativity,2021,3,0.7,1340,wurg,n
Naya Midrange,2021,3,0.7,1399,wrg,n
Gruul Midrange,2021,3,0.7,724,rg,n
Grinding Station,2021,2,0.4,1223,wur,n
Lantern,2021,2,0.4,616,wbrg,n
Smallpox,2021,2,0.4,778,wb,n
Mono-Red Midrange,2021,2,0.4,872,r,n
Reanimator,2021,2,0.4,932,wub,n
Saheeli Combo,2021,2,0.4,1559,wurg,y
Mardu Midrange,2021,2,0.4,1234,wbr,n
General Ferrous,2021,2,0.4,947,wurg,n
Prison Tron,2021,2,0.4,821,,n
Bogles,2021,2,0.4,393,wg,n
Blue-Red Control,2021,2,0.4,1027,ur,n
Spirits,2021,2,0.4,916,wug,n
The Rock,2021,2,0.4,1405,bg,n
Merfolk,2021,2,0.4,852,u,n
Elves,2021,2,0.4,569,wbg,n
Storm,2021,1,0.2,305,ur,n
4c Tempo,2021,1,0.2,1268,wubr,n
Humans,2021,1,0.2,835,wubrg,n
Abzan Stoneblade,2021,1,0.2,1215,wbg,n
Ad Nauseam,2021,1,0.2,505,wubg,n
Titan Shift,2021,1,0.2,821,rg,n
Death & Taxes,2021,1,0.2,1031,w,y
Knightfall,2021,1,0.2,775,wug,n
Hollow One,2021,1,0.2,295,ubrg,n
Prowess,2021,1,0.2,496,wur,n
Faeries,2021,1,0.2,1385,wub,n
8-Rack,2021,1,0.2,596,b,n
Glimpse Combo,2021,1,0.2,906,wurg,n
Asmo Food,2021,1,0.2,746,wbg,n
4c Tempo,2021,1,0.2,1268,wubr,n
