Year,Mean,Median,High,Low,Count
2021,1046,1084.5,1812,373,22
2020,771.4354839,707.73,1702.2,240.56,31
2019,931.8785714,892.58,1855.84,308.76,21
2018,943.3020833,836.26,1864,322.11,24
2017,908.2741176,919.61,1804.08,483.05,17
2016,926.8836,878.98,2079.92,333.53,25
2015,1033.941818,921.15,2178.86,430.38,22
